"","tweet","existence","existence.confidence","cleantweet"
"3523","How does the politicization of climate change affect public opinion? http://bit.ly/9lJKg5",NA,1,"How does the politicization of climate change affect public opinion? http://bit.ly/9lJKg5"
"3524","@washpost NOAA reorganization would provide more info on global warming: http://bit.ly/agqiIf #ocean #climate #acidification","Y",0.7399,"@washpost NOAA reorganization would provide more info on global warming: http://bit.ly/agqiIf #ocean #climate #acidification"
"3525","@mlmoore2 I love how they act like they never said it either. They will remind us again in July about global warming.","N",1,"@mlmoore2 I love how they act like they never said it either. They will remind us again in July about global warming."
"3526","Time Warp! 15 months ago RFK Jr. said Global warming means no cold or snow in DC.  http://bit.ly/bfq8s8 Suck it Bobby.","N",0.6768,"Time Warp! 15 months ago RFK Jr. said Global warming means no cold or snow in DC.  http://bit.ly/bfq8s8 Suck it Bobby."
"3527","Busted! Rajendra Pachauri: head of UN climate change panel clocks up half a million miles of air travel http://bit.ly/d6mlhN","N",0.6527,"Busted! Rajendra Pachauri: head of UN climate change panel clocks up half a million miles of air travel http://bit.ly/d6mlhN"
"3528","RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift.","Y",0.6752,"RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift."
"3529","I hate when morons think that when we get snow it means there's no global warming. It is called CLIMATE CHANGE! Wake the F up!","Y",1,"I hate when morons think that when we get snow it means there's no global warming. It is called CLIMATE CHANGE! Wake the F up!"
"3530","RT @MISSMYA: ""Many believe global warming's from man made pollution, but planetary alignments hv a big influence on weather&all aspects of life on Earth""","Y",1,"RT @MISSMYA: ""Many believe global warming's from man made pollution, but planetary alignments hv a big influence on weather&all aspects of life on Earth"""
"3531","New Federal Climate Change Agency Forming: By RANDOLPH E. SCHMID AP Science Writer AP The Obama administration on ... http://bit.ly/aXswH4","Y",0.6245,"New Federal Climate Change Agency Forming: By RANDOLPH E. SCHMID AP Science Writer AP The Obama administration on ... http://bit.ly/aXswH4"
"3532","U.S. to Form Climate-Change Agency: The Obama administration proposed a new agency to study and report on the changing  http://url4.eu/1LSoP",NA,0.6196,"U.S. to Form Climate-Change Agency: The Obama administration proposed a new agency to study and report on the changing  http://url4.eu/1LSoP"
"3533","RT @fredthompson UN Global Warming chair says skeptics can't tell asbestos from talcum pwdr. At least they can tell science from a snow job.","Y",0.7008,"RT @fredthompson UN Global Warming chair says skeptics can't tell asbestos from talcum pwdr. At least they can tell science from a snow job."
"3534","@dcseth my ""side"" is science, & it's well-founded. Politics involved, but only b/c we have to deal w/ your climate change denying nonsense.","Y",1,"@dcseth my ""side"" is science, & it's well-founded. Politics involved, but only b/c we have to deal w/ your climate change denying nonsense."
"3535","To clarify, here: I am an environmentalist. @dcseth is a climate change denier. You are witnessing an argument.","Y",0.7436,"To clarify, here: I am an environmentalist. @dcseth is a climate change denier. You are witnessing an argument."
"3536","@dcseth I'm sure you're a decent human, but if youre trying to make climate change political, hard for me to respect any of your opinions.","Y",0.6621,"@dcseth I'm sure you're a decent human, but if youre trying to make climate change political, hard for me to respect any of your opinions."
"3537","RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift.","Y",1,"RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift."
"3538","RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift.","Y",1,"RT @davidcorndc: Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift."
"3539","Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift.","Y",0.5091,"Can someone please explain to conservatives that with climate change, some areas will get colder and weather patterns will shift."
"3540","@DavidCornDC Another DC snowstorm? Where's the global warming?","N",1,"@DavidCornDC Another DC snowstorm? Where's the global warming?"
"3541","Woot! RT @alexpriest: RT @HuffPostGreen: hey! wow!  New Federal Climate Change Agency Announced http://bit.ly/aybO8Z - cool!","Y",1,"Woot! RT @alexpriest: RT @HuffPostGreen: hey! wow!  New Federal Climate Change Agency Announced http://bit.ly/aybO8Z - cool!"
"3542","RT @usnews: New Federal Climate Change Agency Forming http://bit.ly/a8lfPz",NA,0.6408,"RT @usnews: New Federal Climate Change Agency Forming http://bit.ly/a8lfPz"
"3543","RT @bradplumer Tea-party gang now focused on scuttling California's global-warming law: http://bit.ly/dB1PYw","Y",0.4762,"RT @bradplumer Tea-party gang now focused on scuttling California's global-warming law: http://bit.ly/dB1PYw"
"3544","New Federal Climate Change Agency Forming http://bit.ly/a8lfPz","Y",1,"New Federal Climate Change Agency Forming http://bit.ly/a8lfPz"
"3545","New Federal Climate Change Agency Forming http://bit.ly/a8lfPz","Y",0.6477,"New Federal Climate Change Agency Forming http://bit.ly/a8lfPz"
"3546","@dcseth oh good god don't tell me you're a climate change denier too","Y",1,"@dcseth oh good god don't tell me you're a climate change denier too"
"3547","New federal climate change agency forming http://dlvr.it/1WPN",NA,0.6916,"New federal climate change agency forming http://dlvr.it/1WPN"
"3548","Tea-party gang now focused on scuttling California's global-warming law: http://bit.ly/dB1PYw",NA,0.6634,"Tea-party gang now focused on scuttling California's global-warming law: http://bit.ly/dB1PYw"
"3549","Ok... @Slate just sent me my mid-day update, linking a story on climate change to the AP...but the link takes me to TPM. #msmbias",NA,0.5313,"Ok... @Slate just sent me my mid-day update, linking a story on climate change to the AP...but the link takes me to TPM. #msmbias"
"3550","RT @HuffPostGreen: hey! wow!  New Federal Climate Change Agency Announced http://bit.ly/aybO8Z - cool!","Y",0.6818,"RT @HuffPostGreen: hey! wow!  New Federal Climate Change Agency Announced http://bit.ly/aybO8Z - cool!"
"3551","RT @eDevelopment: Two vacancies open at the World Bank: Senior Specialists on ICT for Agriculture and Climate Change and e-Health http://bit.ly/91JGji",NA,0.6879,"RT @eDevelopment: Two vacancies open at the World Bank: Senior Specialists on ICT for Agriculture and Climate Change and e-Health http://bit.ly/91JGji"
"3552","Making Ripples: post-corporate adventures in Floyd County Virginia: Is this a preview of the climate change to come? http://j.mp/cTBnzw","Y",0.682,"Making Ripples: post-corporate adventures in Floyd County Virginia: Is this a preview of the climate change to come? http://j.mp/cTBnzw"
"3553","Across the Nation... NOAA reorganizes to provide more info on global warming: The Obama administration launched a ... http://bit.ly/cIPdtR",NA,0.6928,"Across the Nation... NOAA reorganizes to provide more info on global warming: The Obama administration launched a ... http://bit.ly/cIPdtR"
"3554","Business Section... NOAA reorganizes to provide more info on global warming: The Obama administration launched a n... http://bit.ly/9c2kEc","Y",0.6697,"Business Section... NOAA reorganizes to provide more info on global warming: The Obama administration launched a n... http://bit.ly/9c2kEc"
"3555","Lobbyists rush to block EPA action on #climate change http://bit.ly/d5lq3G","Y",0.6843,"Lobbyists rush to block EPA action on #climate change http://bit.ly/d5lq3G"
"3556","With climate change, birds are taking off for migration sooner ...: Migrating birds can and do keep their travel d... http://bit.ly/90jgQn","Y",1,"With climate change, birds are taking off for migration sooner ...: Migrating birds can and do keep their travel d... http://bit.ly/90jgQn"
"3557","Just in time for #snomg! RT @BreakingNews: Obama admin forms Climate Service, a new agency to study and report on global warming -AP #tcot","Y",0.678,"Just in time for #snomg! RT @BreakingNews: Obama admin forms Climate Service, a new agency to study and report on global warming -AP #tcot"
"3558","Green Police! RT @peterdaou: Department of Defense states that climate change is a national security threat http://bit.ly/cIN1aK","Y",1,"Green Police! RT @peterdaou: Department of Defense states that climate change is a national security threat http://bit.ly/cIN1aK"
"3559","RT @BreakingNews: Obama administration forms Climate Service, a new agency to study and report on global warming -AP",NA,0.6457,"RT @BreakingNews: Obama administration forms Climate Service, a new agency to study and report on global warming -AP"
"3560","Disclosing the Real Risks on Climate Change by Paul Driessen, TownHall.com http://bit.ly/8YJBQ7","Y",0.6823,"Disclosing the Real Risks on Climate Change by Paul Driessen, TownHall.com http://bit.ly/8YJBQ7"
"3561","China Daily: The rich world will never accept the findings of #climate change till there is money to be made http://icio.us/bl2v3j","Y",0.7042,"China Daily: The rich world will never accept the findings of #climate change till there is money to be made http://icio.us/bl2v3j"
"3562","Part of the problem with state/county ""Balanced Budget"" laws are storms like this. With Global Warming, emergencies like this will increase.","Y",1,"Part of the problem with state/county ""Balanced Budget"" laws are storms like this. With Global Warming, emergencies like this will increase."
"3563","RFK, Jr., not too long ago: Global warming means no snow in D.C. http://bit.ly/4x6PvE #shovelready","Y",0.6648,"RFK, Jr., not too long ago: Global warming means no snow in D.C. http://bit.ly/4x6PvE #shovelready"
"3564","Lobbyists Rush to Block EPA Action on Climate Change http://ow.ly/16wIEJ",NA,1,"Lobbyists Rush to Block EPA Action on Climate Change http://ow.ly/16wIEJ"
"3565","Tell Toyota COO to put the brakes on climate change & US CoC - Digg up this Q! http://ow.ly/14BdQ #climate #green #toyota #prius","Y",0.7154,"Tell Toyota COO to put the brakes on climate change & US CoC - Digg up this Q! http://ow.ly/14BdQ #climate #green #toyota #prius"
"3566","A lot of NJ's blocked me, but you're fine :) RT @teh_Dede: @keder I'm sorry the Global Warming got ya...and I hope we're still friends.  :)",NA,0.5097,"A lot of NJ's blocked me, but you're fine :) RT @teh_Dede: @keder I'm sorry the Global Warming got ya...and I hope we're still friends.  :)"
"3567","@bmorehousehoney that's why the science community has pushed so hard for the term ""Climate Change"" - warming is misleading...","Y",1,"@bmorehousehoney that's why the science community has pushed so hard for the term ""Climate Change"" - warming is misleading..."
"3568","Report: open green tech and open business models for climate-change oriented technology transfer http://bit.ly/biHivG","Y",1,"Report: open green tech and open business models for climate-change oriented technology transfer http://bit.ly/biHivG"
"3569","@algore How is your global warming going there in your DC office? Hope you're nice and toasty...oh wait, #climategate is a scam. thnx #fail","N",1,"@algore How is your global warming going there in your DC office? Hope you're nice and toasty...oh wait, #climategate is a scam. thnx #fail"
"3570","@jmac82 Exactly, Justin. Just saw Fox 5 say we'll be getting up to 10 inches of global warming on Tuesday. Damn it!","N",0.7085,"@jmac82 Exactly, Justin. Just saw Fox 5 say we'll be getting up to 10 inches of global warming on Tuesday. Damn it!"
"3571","Climate change is transforming the Arctic environment faster than expected (ENN.com) http://www.enn.com/ecosystems/article/40994","Y",1,"Climate change is transforming the Arctic environment faster than expected (ENN.com) http://www.enn.com/ecosystems/article/40994"
"3572","Okay, back to buz and no more complaining about snow...until Tuesday when another 6 inches comes.  Notice no talk of global warming lately?!","N",0.7062,"Okay, back to buz and no more complaining about snow...until Tuesday when another 6 inches comes.  Notice no talk of global warming lately?!"
"3573","Fighting Climate Change is a Business Model - As governments struggle to solve the climate change crisis, who's ste... http://ow.ly/16wGC9","Y",1,"Fighting Climate Change is a Business Model - As governments struggle to solve the climate change crisis, who's ste... http://ow.ly/16wGC9"
"3574","@TraciKnoppe After 27"" on Saturday, we're supposed to get 10 more tomorrow into Wednesday. Must be global warming!","Y",0.4588,"@TraciKnoppe After 27"" on Saturday, we're supposed to get 10 more tomorrow into Wednesday. Must be global warming!"
"3575","just saw someone post on FB that #snowpocalypse must be proof that global warming is a myth. calling him a moron probably isn't productive.","Y",1,"just saw someone post on FB that #snowpocalypse must be proof that global warming is a myth. calling him a moron probably isn't productive."
"3576","More mistakes found in climate change report? http://bit.ly/bKqwg6 #tcot #tlot",NA,1,"More mistakes found in climate change report? http://bit.ly/bKqwg6 #tcot #tlot"
"3577","@ScottJW Where is that global warming when we need it?","N",0.6752,"@ScottJW Where is that global warming when we need it?"
"3578","Where Is Global Warming? by Rebecca Terrell, NewAmerican.com http://bit.ly/9RPSIZ","N",1,"Where Is Global Warming? by Rebecca Terrell, NewAmerican.com http://bit.ly/9RPSIZ"
"3579","The great global warming collapse http://tgam.ca/Hrh (via @globeandmail)","N",1,"The great global warming collapse http://tgam.ca/Hrh (via @globeandmail)"
"3580","RFK, Jr. 15 months ago: Global warming means no snow or cold in DC (Examiner): http://bit.ly/76Gtnu #tcot","Y",0.6404,"RFK, Jr. 15 months ago: Global warming means no snow or cold in DC (Examiner): http://bit.ly/76Gtnu #tcot"
"3581","Global warming strikes DC! I present to u, my car:  http://tweetphoto.com/10721938","N",0.4653,"Global warming strikes DC! I present to u, my car:  http://tweetphoto.com/10721938"
"3582","Today's @newtgingrich: snow = no #climate change. Yesterday's Newt: #capandtrade good.  http://post.ly/MgbZ",NA,0.6652,"Today's @newtgingrich: snow = no #climate change. Yesterday's Newt: #capandtrade good.  http://post.ly/MgbZ"
"3583","RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent","N",1,"RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent"
"3584","Post: ""Believers in man-made global warming rapidly dwindling"" http://tinyurl.com/yk66f9g",NA,0.6709,"Post: ""Believers in man-made global warming rapidly dwindling"" http://tinyurl.com/yk66f9g"
"3585","RT @WiserEarth: Follow events live from #bolivia for #cochabamba: World People's Conference on Climate Change  http://bit.ly/aldPym",NA,0.6306,"RT @WiserEarth: Follow events live from #bolivia for #cochabamba: World People's Conference on Climate Change  http://bit.ly/aldPym"
"3586","Naomi Klein on CSPAN: Climate change causing island extinction within 50 years.","Y",1,"Naomi Klein on CSPAN: Climate change causing island extinction within 50 years."
"3587","Restoration of Australian landscape enhances adaptability to climate change: http://bit.ly/9UUIi9","Y",0.6988,"Restoration of Australian landscape enhances adaptability to climate change: http://bit.ly/9UUIi9"
"3588","Climate change is transforming the Arctic environment faster than expected & accelerating the disappearance of sea ice: http://bit.ly/afeLtO","Y",1,"Climate change is transforming the Arctic environment faster than expected & accelerating the disappearance of sea ice: http://bit.ly/afeLtO"
"3589","The video contest @lovisatalk mentioned about Climate Change is on the ning-built Exchanges Connect http://bit.ly/4oLB7G #gov20LA",NA,1,"The video contest @lovisatalk mentioned about Climate Change is on the ning-built Exchanges Connect http://bit.ly/4oLB7G #gov20LA"
"3590","The video contest @lovisatalk mentioned about Climate Change is on the ning-built Exchanges Connect  http://bit.ly/4oLB7G",NA,1,"The video contest @lovisatalk mentioned about Climate Change is on the ning-built Exchanges Connect  http://bit.ly/4oLB7G"
"3591","RFK, Jr. 15 months ago: Global warming means no snow or cold in DC: Robert F. Kennedy Jr., who flies around on pri... http://bit.ly/dmzEa2",NA,0.5126,"RFK, Jr. 15 months ago: Global warming means no snow or cold in DC: Robert F. Kennedy Jr., who flies around on pri... http://bit.ly/dmzEa2"
"3592","Mark Steyn: ""climate change is not only a scientific scandal but also a massive journalistic failure."" http://tinyurl.com/yzxap7c","N",1,"Mark Steyn: ""climate change is not only a scientific scandal but also a massive journalistic failure."" http://tinyurl.com/yzxap7c"
"3593","RFK, Jr. 15 months ago: Global warming means no snow or cold in DC: ' Robert F. Kennedy Jr., who flies around on p... http://bit.ly/bhvc1D","N",0.5172,"RFK, Jr. 15 months ago: Global warming means no snow or cold in DC: ' Robert F. Kennedy Jr., who flies around on p... http://bit.ly/bhvc1D"
"3594","RFK, Jr. 15 months ago: Global warming means no snow or cold in DC http://dlvr.it/1SpZ #snowpocalypse",NA,0.6605,"RFK, Jr. 15 months ago: Global warming means no snow or cold in DC http://dlvr.it/1SpZ #snowpocalypse"
"3595","RT @joshtpm global warming prolly real in New York, but big scam in DC","N",1,"RT @joshtpm global warming prolly real in New York, but big scam in DC"
"3596","RT @Hesperian: World People's Conference on Climate Change starts today in Bolivia! #cochabamba @boliviaun http://ow.ly/1AoQX","Y",0.7092,"RT @Hesperian: World People's Conference on Climate Change starts today in Bolivia! #cochabamba @boliviaun http://ow.ly/1AoQX"
"3597","RT @joshtpm global warming prolly real in New York, but big scam in DC",NA,0.4677,"RT @joshtpm global warming prolly real in New York, but big scam in DC"
"3598","RFK, Jr. 15 months ago: Global warming means no snow or cold in DC http://goo.gl/fb/xx8y",NA,1,"RFK, Jr. 15 months ago: Global warming means no snow or cold in DC http://goo.gl/fb/xx8y"
"3599","RFK, Jr. 15 months ago - Global warming means no snow or cold in DC: http://bit.ly/aeTiCg @freddoso via Drudge",NA,0.6543,"RFK, Jr. 15 months ago - Global warming means no snow or cold in DC: http://bit.ly/aeTiCg @freddoso via Drudge"
"3600","Snowmageddon ' More Global Warming from Washington, DC and Mid ...: I wonder what Robert F. Kennedy Jr. would have... http://bit.ly/904bCz",NA,0.6689,"Snowmageddon ' More Global Warming from Washington, DC and Mid ...: I wonder what Robert F. Kennedy Jr. would have... http://bit.ly/904bCz"
"3601","On my way to Italy  - if I can figure out how to get to Dulles. Battling the climate in the fight to end climate change!","Y",1,"On my way to Italy  - if I can figure out how to get to Dulles. Battling the climate in the fight to end climate change!"
"3602","...The facts Are In: Global Warming Caused AIDS!... #reagan #pope #tcot #teaparty #gop #dem #palin #sgp #tlot #p2","N",0.6426,"...The facts Are In: Global Warming Caused AIDS!... #reagan #pope #tcot #teaparty #gop #dem #palin #sgp #tlot #p2"
"3603","new: Global Warming Incoherence http://strata-sphere.com/blog/index.php/archives/12671","N",0.6968,"new: Global Warming Incoherence http://strata-sphere.com/blog/index.php/archives/12671"
"3604","RT @janehenrici: CFP for conference on #indigenous approaches to #environment & #climate change http://bit.ly/dja0A4",NA,0.6555,"RT @janehenrici: CFP for conference on #indigenous approaches to #environment & #climate change http://bit.ly/dja0A4"
"3605","RT @s_dog: Oops. #snOMG  RT @Drudge_Report: RFK, Jr. 15 months ago: Global warming means no snow or cold in DC... http://j.mp/bZ68xB #agw","N",0.7115,"RT @s_dog: Oops. #snOMG  RT @Drudge_Report: RFK, Jr. 15 months ago: Global warming means no snow or cold in DC... http://j.mp/bZ68xB #agw"
"3606","CFP for conference on #indigenous approaches to #environment & #climate change http://bit.ly/dja0A4","Y",1,"CFP for conference on #indigenous approaches to #environment & #climate change http://bit.ly/dja0A4"
"3607","RT @HitTheRoadCa: Join the Peoples Conference on Climate Change live at http://envivocmpcc.org.bo #ecomonday #cmpcc #wpccc #cochabamba","Y",0.6856,"RT @HitTheRoadCa: Join the Peoples Conference on Climate Change live at http://envivocmpcc.org.bo #ecomonday #cmpcc #wpccc #cochabamba"
"3608","On global warming, ""the scientific 'consensus' is melting way faster than the glaciers."" http://bit.ly/cNz3gV #tcot #climate",NA,0.6449,"On global warming, ""the scientific 'consensus' is melting way faster than the glaciers."" http://bit.ly/cNz3gV #tcot #climate"
"3609","The great global warming collapse'... http://bit.ly/drrEIN","N",1,"The great global warming collapse'... http://bit.ly/drrEIN"
"3610","RT @Drudge_Report: RFK, Jr. 15 months ago: Global warming means no snow or cold in DC... http://drudge.tw/bUA5f0",NA,0.6829,"RT @Drudge_Report: RFK, Jr. 15 months ago: Global warming means no snow or cold in DC... http://drudge.tw/bUA5f0"
"3611","27"" of global warming fell at my home 8 miles south of Washington, DC.  Arms & hands so sore from shoveling ... Hurts to Tweet :-(","N",1,"27"" of global warming fell at my home 8 miles south of Washington, DC.  Arms & hands so sore from shoveling ... Hurts to Tweet :-("
"3612","Global warming lights a fire under beer prices: http://bit.ly/c6UVOu","Y",0.6912,"Global warming lights a fire under beer prices: http://bit.ly/c6UVOu"
"3613","@petersays RFK, Jr. 15 months ago: Global warming means no snow or cold in DC | Washington Examiner: http://bit.ly/76Gtnu","N",0.4752,"@petersays RFK, Jr. 15 months ago: Global warming means no snow or cold in DC | Washington Examiner: http://bit.ly/76Gtnu"
"3614","British Conservatives move away from climate change as election nears http://bit.ly/9UqN5F",NA,1,"British Conservatives move away from climate change as election nears http://bit.ly/9UqN5F"
"3615","Pollster on rapidly collapsing public belief in man-made global warming:  'It is very unusual indeed to see such a... http://bit.ly/aRiBOZ",NA,0.6552,"Pollster on rapidly collapsing public belief in man-made global warming:  'It is very unusual indeed to see such a... http://bit.ly/aRiBOZ"
"3616","Pollster on rapidly collapsing public belief in man-made global warming:  'It is very unusual indeed t... http://bit.ly/bVM4zN #climategate","Y",0.6971,"Pollster on rapidly collapsing public belief in man-made global warming:  'It is very unusual indeed t... http://bit.ly/bVM4zN #climategate"
"3617","RT @taffastrophe: It's really amazing how sore you feel after shoveling 28"" of global warming off of your sidewalk & driveway.  #AlGoreLied #snomg","N",0.6809,"RT @taffastrophe: It's really amazing how sore you feel after shoveling 28"" of global warming off of your sidewalk & driveway.  #AlGoreLied #snomg"
"3618","RT @Qorianka World People's Conference on Climate Change and the Rights of Mother Earth: http://is.gd/bzHOa  #cochabamba","Y",0.7183,"RT @Qorianka World People's Conference on Climate Change and the Rights of Mother Earth: http://is.gd/bzHOa  #cochabamba"
"3619","Invasive News: Invasive Species Thriving in Period of Climate Change - World Sentinel: Invasive Species Thriving i... http://bit.ly/dmimzF","Y",1,"Invasive News: Invasive Species Thriving in Period of Climate Change - World Sentinel: Invasive Species Thriving i... http://bit.ly/dmimzF"
"3620","@lowkell lies? Who could seriouly believe in global warming after this?","N",1,"@lowkell lies? Who could seriouly believe in global warming after this?"
"3621","Bwaahaa! ""GIVE THEM THE WEALTH!"" #PresidentPalin! #SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg","N",0.668,"Bwaahaa! ""GIVE THEM THE WEALTH!"" #PresidentPalin! #SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg"
"3622","#messageto #PresidentPalin! SNOBAMA: DC's 2010 SNOWFALL, BLASTS #OBAMA, #IPCC & #GLOBAL WARMING TAX Short VID http://youtu.be/FDNWoZecHjg",NA,0.6372,"#messageto #PresidentPalin! SNOBAMA: DC's 2010 SNOWFALL, BLASTS #OBAMA, #IPCC & #GLOBAL WARMING TAX Short VID http://youtu.be/FDNWoZecHjg"
"3623","VID #messageto #PresidentPalin! @sarahpalinusa #SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, IPCC & GLOBAL WARMING TAX http://youtu.be/FDNWoZecHjg",NA,0.6444,"VID #messageto #PresidentPalin! @sarahpalinusa #SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, IPCC & GLOBAL WARMING TAX http://youtu.be/FDNWoZecHjg"
"3624","Climate Change and planet Earth ' Learnthebibleca's Blog http://bit.ly/duUgEL",NA,0.7509,"Climate Change and planet Earth ' Learnthebibleca's Blog http://bit.ly/duUgEL"
"3625","SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, THE IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg #teaparty #tcot #GOP @glennbeck #fox #sgp #ocra","N",0.4938,"SNOBAMA: DC's 2010 SNOW, BLASTS OBAMA, THE IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg #teaparty #tcot #GOP @glennbeck #fox #sgp #ocra"
"3626","New college course will foster cross-cultural understanding of climate change: http://bit.ly/difW0F","Y",0.719,"New college course will foster cross-cultural understanding of climate change: http://bit.ly/difW0F"
"3627","New college course will foster cross-cultural understanding of climate change: http://bit.ly/difW0F","Y",1,"New college course will foster cross-cultural understanding of climate change: http://bit.ly/difW0F"
"3628","Report: Climate change indicates need for Scots to consider new species in reforestation:  http://bit.ly/bn0SJd","Y",0.6352,"Report: Climate change indicates need for Scots to consider new species in reforestation:  http://bit.ly/bn0SJd"
"3629","Report: Climate change indicates need for Scots to consider new species in reforestation:  http://bit.ly/bn0SJd","Y",0.6609,"Report: Climate change indicates need for Scots to consider new species in reforestation:  http://bit.ly/bn0SJd"
"3630","The ONLY climate change that exists is Summer, Fall, Winter, & Spring.  #justsaying","N",1,"The ONLY climate change that exists is Summer, Fall, Winter, & Spring.  #justsaying"
"3631","At this point, everyone in Washington DC area hates Al Gore. He should stand in waist deep snow butt naked and preach global warming.",NA,0.3843,"At this point, everyone in Washington DC area hates Al Gore. He should stand in waist deep snow butt naked and preach global warming."
"3632","I rated a YouTube video (5 out of 5 stars) -- SNOBAMA: DC's 2010 SNOW BLASTS OBAMA, THE IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg?a","N",1,"I rated a YouTube video (5 out of 5 stars) -- SNOBAMA: DC's 2010 SNOW BLASTS OBAMA, THE IPCC & GLOBAL WARMING http://youtu.be/FDNWoZecHjg?a"
"3633","What's Hot: Seattle Takes on the Junk Mail Industry: When it comes to curbing climate change, some things are easi... http://bit.ly/buTsNb","Y",1,"What's Hot: Seattle Takes on the Junk Mail Industry: When it comes to curbing climate change, some things are easi... http://bit.ly/buTsNb"
"3634","Inhofe family in DC as the blizzard hit - had a little fun at the expense of Al Gore and global warming.  http://bit.ly/aPnPlV #TCOT","N",0.6928,"Inhofe family in DC as the blizzard hit - had a little fun at the expense of Al Gore and global warming.  http://bit.ly/aPnPlV #TCOT"
"3635","RT @brandonlk: The great global warming collapse'... http://tinyurl.com/yf34stp #tcot","N",0.6769,"RT @brandonlk: The great global warming collapse'... http://tinyurl.com/yf34stp #tcot"
"3636","@TxJogger12 LOL, yeah I really want some global warming now....must increase carbon footprint! :-)","N",0.6616,"@TxJogger12 LOL, yeah I really want some global warming now....must increase carbon footprint! :-)"
"3637","@brandonlk I'm feeling global warming here as I'm sore from digging out over 2 feet of snow :-)","N",1,"@brandonlk I'm feeling global warming here as I'm sore from digging out over 2 feet of snow :-)"
"3638","@IsaacSalazar: Here's your climate change RT @mtapscott More on why bogus ""global warming consensus"" is fading fast: http://bit.ly/cDJyLG","N",1,"@IsaacSalazar: Here's your climate change RT @mtapscott More on why bogus ""global warming consensus"" is fading fast: http://bit.ly/cDJyLG"
"3639","@TerriSueWho And EXACTLY why we say ""global warming schmorming!""","N",0.6706,"@TerriSueWho And EXACTLY why we say ""global warming schmorming!"""
"3640","RT @lward99: Snow covers Washington DC - Must hand it to Obama he promised to end Global Warming, and did so in one year. #climategate #tcot #fb","Y",0.6634,"RT @lward99: Snow covers Washington DC - Must hand it to Obama he promised to end Global Warming, and did so in one year. #climategate #tcot #fb"
"3641","Global Warming Hysteria: Another False Claim Exposed in IPCC Report http://bit.ly/9xlMWu","N",1,"Global Warming Hysteria: Another False Claim Exposed in IPCC Report http://bit.ly/9xlMWu"
"3642","Bonsai from the Right: Quick Question On Global Warming: My Photo. Chris: Clinton Twp, Mi, United States: I like t... http://bit.ly/dCrz7m",NA,0.6515,"Bonsai from the Right: Quick Question On Global Warming: My Photo. Chris: Clinton Twp, Mi, United States: I like t... http://bit.ly/dCrz7m"
"3643","The power is out. This is fun. At least I have beer. Global warming=fail.","N",1,"The power is out. This is fun. At least I have beer. Global warming=fail."
"3644","Least favorite aspect of a snowstorm: encourages the rightwing nutcases inveighing global warming as a hoax.","Y",0.6774,"Least favorite aspect of a snowstorm: encourages the rightwing nutcases inveighing global warming as a hoax."
"3645","@justinlee76 Well, this type of storm is always fleeting in people's minds, but it certaintly doesn't help the climate change people.","N",1,"@justinlee76 Well, this type of storm is always fleeting in people's minds, but it certaintly doesn't help the climate change people."
"3646","Rather amused at climate change deniers who wryly refer to snow as 'global warming' -- they're a bit closer to the mark than they think.","Y",1,"Rather amused at climate change deniers who wryly refer to snow as 'global warming' -- they're a bit closer to the mark than they think."
"3647","@justinlee76 Well, it sounds nicer thatn what we've got. D.C. is in the middle of our third snowiest winter ever. Damn global warming!","N",0.6809,"@justinlee76 Well, it sounds nicer thatn what we've got. D.C. is in the middle of our third snowiest winter ever. Damn global warming!"
"3648","RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent","N",0.6602,"RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent"
"3649","Betting on Climate Change: Corporations Stand to Make or Lose Billions: Is the planet really warming up? Just ask ... http://bit.ly/aqTRqc",NA,1,"Betting on Climate Change: Corporations Stand to Make or Lose Billions: Is the planet really warming up? Just ask ... http://bit.ly/aqTRqc"
